a,0.06930802339697605
b,0.014016113011808851
c,0.02692859507780598
d,0.050767023507339144
e,0.1394989515506015
f,0.020748261781260345
g,0.021300077254166206
h,0.03796490453592319
i,0.0758194459772652
j,0.001986535702461097
k,0.0041937975940845385
l,0.038516720008829046
m,0.031012029577309346
n,0.07482617812603465
o,0.06732148769451496
p,0.023396976051208475
q,0.002317624986204613
r,0.06456241032998565
s,0.07405363646396645
t,0.0746054519368723
u,0.03046021410440349
v,0.012471029687672443
w,0.01732700584924401
x,0.004635249972409226
y,0.021631166537909724
z,0.00033108928374351616
